MAE,Last MAE,Step,Enzyme,Linear MAE,Linear Last MAE
0.22592950379425517,0.006154433785633628,1,OXA-48,0.13269501809760498,0.09346488704999878
0.597482442831425,1.6188512337680692,2,OXA-48,0.12470217105745952,0.06364227811925871
0.3549937243197988,2.399435714750179,3,OXA-48,0.11131264964918924,0.07300332466192772
0.08212432153999728,1.6238162512791532,4,OXA-48,0.06744653514795548,0.04411715869023595
0.012663597951245446,0.810470268879699,5,OXA-48,0.05568981926364629,0.044428895165941285
1.5525775109992423e-16,4.440892098500626e-16,6,OXA-48,0.05384332523059731,0.039899520888888595
